GHO_DISPLAY,STARTYEAR,DIMENSION_TYPE,DIMENSION_NAME,Numeric
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary education,27.6000003814697
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q5 (Richest),20.2999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary or higher,15.3000001907349
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary or higher,12
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Primary,5.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,WEALTHQUINTILE,Total,2.09999990463257
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary or higher,9
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q3,9.60000038146973
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Higher education,8.80000019073486
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Urban,9.10000038146973
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Rural,47.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Total,26.7000007629395
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Total,10.1999998092651
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Higher education,8.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary education,2.70000004768372
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,RESIDENCEAREATYPE,Total,18.3999996185303
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Higher education,13.6999998092651
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2021,WEALTHQUINTILE,Total,1.70000004768372
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary or higher,18.2000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None and primary education,3.40000009536743
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2014,RESIDENCEAREATYPE,Total,33.5999984741211
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Primary,2
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Primary,2.40000009536743
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q4,23.6000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None,14.1000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q2,11.1000003814697
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Total,35.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None and primary education,35.0999984741211
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Total,24.2000007629395
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Total,10.8000001907349
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Urban,23
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q4,9.89999961853027
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Total,42.5
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary education,37.2999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q5 (Richest),13.3999996185303
